Customer ID,Recency,Frequency,Monetary,Segment
12647,22,36,17924.35,3
12648,155,4,1112.0,1
12649,107,8,2294.65,1
12650,3,1,314.44,1
12651,335,4,377.75,5
12652,331,2,1017.03,5
12653,149,3,4160.83,1
12654,11,5,601.98,1
12655,424,1,261.35,5
12656,17,8,6407.83,1
12657,11,4,1643.18,1
12658,19,1,686.05,1
12659,30,1,91.68,1
12660,11,1,245.1,1
12661,436,1,162.0,5
12662,1,20,6988.02,3
12663,625,2,239.4,0
12664,8,11,6070.04,1
12665,325,3,313.6,5
12666,394,1,1248.42,5
12667,58,1,620.13,1
12668,12,10,11383.03,1
12669,151,3,2744.0299999999997,1
12670,10,7,3760.29,1
12671,606,1,2622.481,0
12672,330,2,437.05,5
12673,5,3,1230.02,1
12674,39,4,1970.6,1
12675,554,2,957.25,0
12676,25,11,2843.09,1
12677,555,2,395.1,0
12678,42,21,34281.18,3
12679,59,4,1113.02,1
12680,1,4,880.81,1
12681,15,45,30868.28,3
12682,4,52,24025.51,3
12683,4,21,12696.78,3
12684,8,7,2283.63,1
12685,28,6,2863.08,1
12686,372,1,178.28,5
12687,481,2,2138.91,0
12688,114,1,4873.8099999999995,1
12689,26,2,1247.61,1
12690,206,1,389.01,5
12691,28,7,1170.4,1
12692,637,1,110.95,0
12693,127,7,1703.02,1
12694,70,3,1843.35,1
12695,7,7,1407.1200000000001,1
12696,435,2,851.91,5
12697,29,3,957.59,1
12698,590,1,339.75,0
12699,418,1,638.11,5
12700,8,4,4939.99,1
12701,80,6,2446.41,1
12702,20,1,219.0,1
12703,71,4,1006.53,1
12704,7,8,2340.84,1
12705,15,14,11762.1,1
12707,292,1,603.42,5
12708,30,18,5314.1,1
12709,15,34,30814.46,3
12710,97,3,1149.02,1
12711,612,2,1339.05,0
12712,29,21,7193.66,3
12713,1,1,848.55,1
12714,9,12,14093.71,1
12715,106,1,343.36,1
12716,4,2,1053.49,1
12717,151,3,1308.91,1
12718,71,1,238.25,1
12719,5,2,644.95,1
12720,3,30,8260.67,3
12721,32,8,4013.08,1
12722,85,4,997.63,1
12723,4,5,725.07,1
12724,5,7,2317.52,1
12725,371,4,2694.56,5
12726,28,11,4014.6,1
12727,11,10,5679.53,1
12728,71,5,1070.17,1
12729,114,1,453.01,1
12730,522,1,829.25,0
12731,24,17,25775.71,3
12732,180,1,236.26000000000002,1
12733,234,4,2424.87,5
12734,353,3,639.65,5
12735,315,2,779.5699999999999,5
12736,333,1,234.0,5
12737,499,2,3710.5,0
12738,372,1,310.7,5
12739,78,4,2726.73,1
12740,64,1,427.6,1
12741,529,2,406.07,0
12742,626,1,1201.52,0
12743,134,2,540.13,1
12744,52,11,25317.06,3
12745,487,3,925.41,0
12746,541,1,254.55,0
12747,2,26,9257.039999999999,3
12748,1,336,55511.09,4
12749,4,9,6897.36,1
12750,129,1,275.88,1
12751,445,1,268.27,5
12752,81,1,4366.78,1
12753,23,6,21429.39,1
12754,236,3,3010.74,5
12755,281,11,9030.66,5
12756,87,1,112.07999999999998,1
12757,16,13,7834.650000000001,1
12758,117,7,9903.24,1
12759,52,8,5020.74,1
12760,456,1,347.8,5
12761,458,2,782.95,5
12762,8,2,1898.52,1
12763,138,2,814.16,1
12764,317,1,1693.88,5
12765,472,6,1404.58,5
12766,4,9,10068.28,1
12767,376,1,949.82,5
12768,451,1,168.69000000000003,5
12769,239,1,1143.6,5
12770,211,2,3246.45,5
12771,486,1,282.3,0
12772,60,1,892.47,1
12773,564,1,124.25,0
12774,536,1,98.7,0
12775,17,7,1686.12,1
12776,668,1,55.5,0
12777,458,1,519.45,5
12778,20,9,1775.68,1
12779,38,14,6722.2699999999995,1
12780,599,1,337.4,0
12781,64,2,826.74,1
12782,5,11,4618.24,1
12783,2,6,2225.91,1
12784,9,3,1763.15,1
12785,364,3,1100.4,5
12786,610,1,728.5,0
12787,10,4,862.18,1
12788,463,4,444.9,5
12789,65,3,273.35,1
12790,192,2,591.85,1
12791,374,6,1056.1100000000001,5
12792,257,2,827.01,5
12793,335,3,1017.33,5
12794,53,2,860.41,1
12795,19,1,430.48,1
12796,628,1,381.0,0
12797,366,2,806.11,5
12798,10,4,8510.93,1
12799,529,1,219.35,0
12800,470,3,584.25,5
12801,501,1,1071.82,0
12802,187,7,2416.42,1
12803,393,1,1092.81,5
12804,466,2,325.37,5
12805,382,4,1434.95,5
12806,435,4,2878.96,5
12807,383,1,330.35,5
12808,37,5,906.1,1
12809,178,3,1755.94,1
12810,535,2,534.99,0
12811,261,5,1033.9,5
12812,45,1,229.64000000000001,1
12813,502,3,1687.8,0
12814,102,1,125.92,1
12815,148,2,1063.46,1
12816,96,2,572.2,1
12817,281,3,690.98,5
12818,262,1,1542.08,5
12819,458,1,540.52,5
12820,3,11,2689.52,1
12821,214,2,220.8,5
12822,71,2,948.88,1
12823,75,18,6501.5,1
12824,60,1,397.12,1
12825,521,2,518.63,0
12826,3,12,2955.75,1
12827,6,3,430.15000000000003,1
12828,3,6,1018.71,1
12829,337,3,385.3,5
12830,38,6,6814.64,1
12831,262,3,451.11,5
12832,32,2,383.03,1
12833,145,1,417.38,1
12834,283,1,312.38,5
12835,428,41,5996.83,3
12836,59,15,6559.7300000000005,1
12837,173,2,662.66,1
12838,34,10,3366.7,1
12839,3,26,10071.73,3
12840,144,7,4041.97,1
12841,5,40,7464.19,3
12842,70,4,1917.99,1
12843,66,30,6583.36,3
12844,29,4,648.6,1
12845,267,4,354.09,5
12846,682,1,15.58,0
12847,22,2,1609.0,1
12848,676,1,208.0,0
12849,31,6,3042.47,1
12850,446,1,330.0,5
12851,97,2,280.76,1
12852,295,1,311.55,5
12853,135,11,3907.5,1
12854,79,7,2970.9700000000003,1
12855,373,4,650.9399999999999,5
12856,8,6,2170.78,1
12857,211,6,3688.0,5
12858,383,1,147.27,5
12859,459,1,575.1,5
12860,693,1,54.22,0
12861,620,1,68.25,0
12862,426,2,984.62,5
12863,52,6,2792.5499999999997,1
12864,138,2,299.57,1
12865,26,4,3323.47,1
12866,283,3,1227.35,5
12867,26,13,7829.26,1
12868,186,8,2247.06,1
12869,682,1,337.66999999999996,0
12870,375,3,1676.95,5
12871,84,3,744.02,1
12872,327,12,3662.4900000000002,5
12873,282,3,2027.3,5
12874,385,2,948.42,5
12875,143,5,1356.99,1
12876,58,4,4081.79,1
12877,4,20,2942.14,3
12878,236,2,854.99,5
12879,45,3,573.22,1
12880,382,2,640.13,5
12881,276,1,298.0,5
12882,9,2,1463.04,1
12883,25,4,703.47,1
12884,88,1,309.05,1
12885,63,3,1175.22,1
12886,68,2,1378.4,1
12887,384,1,222.4,5
12888,214,2,354.12,5
12889,381,4,385.46000000000004,5
12890,24,2,706.02,1
12891,186,11,840.5,1
12892,397,1,263.38,5
12893,31,1,176.55,1
12894,575,1,157.35,0
12895,42,2,372.8,1
12897,205,4,514.25,5
12898,464,2,296.21000000000004,5
12899,414,1,366.4,5
12900,422,1,340.33,5
12901,9,28,17654.54,3
12902,265,1,138.68,5
12903,429,1,833.53,5
12904,18,2,496.06,1
12905,577,2,1018.42,0
12906,12,5,2919.81,1
12907,396,2,508.91,5
12908,176,5,1776.0,1
12909,40,8,3103.19,1
12910,23,13,5796.52,1
12911,552,1,1651.72,0
12912,3,5,1662.3,1
12913,5,13,6700.860000000001,1
12914,401,1,223.98,5
12915,149,4,1174.75,1
12916,139,7,4479.73,1
12917,128,6,4359.2,1
12918,626,1,10953.5,0
12919,8,6,1335.19,1
12920,17,4,486.64,1
12921,9,74,35921.04,3
12922,161,1,405.38,1
12923,64,3,770.42,1
12924,88,12,2469.4,1
12925,5,3,729.3299999999999,1
12926,411,4,1523.97,5
12927,395,1,197.31,5
12928,35,12,4304.89,1
12929,312,1,117.85,5
12930,78,2,415.8,1
12931,22,57,92347.34,4
12932,539,8,1698.56,0
12933,24,8,1636.6299999999999,1
12934,737,1,181.65,0
12935,2,15,4243.86,1
12936,17,4,1063.9,1
12937,15,9,3097.61,1
12938,26,1,114.14,1
12939,64,20,25264.8,3
12940,55,2,899.69,1
12941,724,1,377.49,0
12942,131,3,934.35,1
12943,558,2,496.5,0
12944,36,2,604.51,1
12945,288,2,900.11,5
12946,437,1,324.45,5
12947,144,6,1908.03,1
12948,16,9,2317.43,1
12949,31,22,15526.7,3
12950,2,3,1843.0,1
12951,9,15,3213.7200000000003,1
12952,6,4,1387.79,1
12953,10,2,828.8100000000001,1
12954,639,1,162.45,0
12955,1,11,4757.16,1
12956,306,4,521.89,5
12957,10,13,8706.97,1
12958,400,2,467.34,5
12959,484,1,150.95,0
12960,414,4,1322.07,5
12961,379,1,211.99,5
12962,7,2,266.39,1
12963,8,12,3601.59,1
12964,437,1,132.24,5
12965,89,1,769.8100000000001,1
12966,10,1,160.18,1
12967,358,3,4306.92,5
12968,112,1,135.95,1
12969,603,1,122.45,0
12970,7,10,1453.6,1
12971,4,116,15972.79,4
12972,414,4,1161.2,5
12973,414,1,385.55,5
12974,198,2,408.95,5
12975,437,6,2100.09,5
12976,212,8,3156.38,1
12977,156,4,513.88,1
12978,385,5,2502.82,5
12979,729,1,517.7,0
12980,158,21,16245.78,3
12981,30,2,372.21999999999997,1
12982,243,8,2744.81,5
12983,598,1,490.08000000000004,0
12984,19,1,97.5,1
12985,1,2,1239.38,1
12986,429,10,2729.84,5
12987,74,5,1312.21,1
12988,292,1,505.82,5
12989,3,33,13551.75,3
12990,31,7,955.5,1
12991,23,3,764.82,1
12992,725,1,93.35000000000001,0
12993,23,8,1259.6299999999999,1
12994,4,3,974.4200000000001,1
12995,85,1,211.32,1
12996,376,1,355.5,5
12997,22,8,2110.91,1
12998,493,3,920.08,0
12999,196,3,455.88,1
13000,107,4,1032.5,1
13001,4,33,24042.65,3
13002,318,3,414.13,5
13003,106,3,149.05,1
13004,12,36,11650.85,3
13005,174,4,999.68,1
13006,56,1,81.57,1
13007,580,1,175.25,0
13008,323,3,612.13,5
13009,673,1,234.0,0
13010,374,2,330.12,5
13011,372,1,101.10000000000001,5
13012,9,11,2957.83,1
13013,1,29,12625.77,3
13014,11,11,5381.08,1
13015,53,11,6579.78,1
13016,73,3,789.89,1
13017,7,1,204.0,1
13018,16,35,9763.16,3
13019,379,6,1229.95,5
13020,563,2,618.96,0
13021,4,17,4887.24,1
13022,430,1,65.3,5
13023,64,3,1449.03,1
13024,471,2,555.87,5
13025,732,1,323.39,0
13026,1,9,1733.08,1
13027,114,19,17239.2,3
13028,23,2,661.3199999999999,1
13029,31,5,1927.3,1
13030,11,2,1154.8,1
13031,407,5,3292.84,5
13032,52,9,2815.96,1
13033,357,2,220.55,5
13034,55,3,922.68,1
13035,74,3,1364.2,1
13036,685,1,307.1,0
13037,138,12,3914.9500000000003,1
13038,80,3,908.46,1
13039,584,4,1010.73,0
13040,9,2,676.99,1
13041,451,4,799.13,5
13042,598,3,1488.59,0
13043,273,1,516.42,5
13044,291,11,4848.05,5
13045,99,3,808.92,1
13046,31,3,949.25,1
13047,32,24,8795.16,3
13048,14,9,4049.13,1
13049,64,4,1408.24,1
13050,15,35,12314.53,3
13051,579,2,155.8,0
13052,212,7,3119.33,5
13053,622,1,127.65,0
13055,78,4,2321.11,1
13056,551,1,209.48,0
13057,530,3,709.59,0
13058,25,3,271.40000000000003,1
13059,250,10,2291.77,5
13060,254,1,307.53,5
13061,72,1,248.61,1
13062,191,1,346.98,1
13063,481,1,188.4,0
13064,13,6,1666.8400000000001,1
13065,373,5,1260.91,5
13066,24,2,470.8,1
13067,82,3,508.51,1
13068,10,2,344.0,1
13069,1,38,9616.95,3
13070,192,4,751.7,1
13071,612,1,129.22,0
13072,267,1,177.15,5
13073,411,2,418.08,5
13074,511,4,1378.74,0
13075,130,1,919.61,1
13076,458,1,135.4,5
13077,1,11,3054.37,1
13078,3,57,29532.45,3
13079,4,6,419.18,1
13080,179,4,280.73,1
13081,12,28,59205.15,3
13082,126,21,7335.75,3
13083,4,3,395.43,1
13084,492,1,122.39999999999999,0
13085,158,8,2433.28,1
13086,383,1,439.33000000000004,5
13087,726,1,313.64,0
13088,417,1,236.11,5
13089,3,203,116647.53,4
13090,9,24,14100.14,3
13091,28,3,2321.82,1
13092,71,12,2140.28,1
13093,276,55,54943.65,3
13094,21,13,2433.1200000000003,1
13095,71,1,74.39999999999999,1
13096,394,1,419.70000000000005,5
13097,33,28,13324.1,3
13098,1,28,28882.44,3
13099,99,1,207.35999999999999,1
13101,234,4,695.4,5
13102,1,37,11696.92,3
13103,40,3,709.64,1
13104,3,9,1709.1,1
13105,436,1,72.0,5
13106,133,2,603.46,1
13107,44,9,5253.07,1
13108,373,2,1098.52,5
13109,60,3,1134.03,1
13110,31,12,2957.4700000000003,1
13111,719,1,321.88000000000005,0
13112,541,1,20.6,0
13113,1,37,18603.04,3
13114,731,1,234.38,0
13115,12,10,5494.7,1
13116,138,1,501.14,1
13117,22,18,2643.81,1
13118,20,9,2415.41,1
13119,669,1,134.9,0
13120,239,1,30.599999999999998,5
13121,269,1,283.73,5
13122,94,2,922.39,1
13123,473,2,506.75,0
13124,90,4,4641.66,1
13125,524,1,148.62,0
13126,5,13,3998.25,1
13127,78,1,259.17,1
13128,631,1,263.5,0
13129,452,2,233.25,5
13130,94,1,64.0,1
13131,23,7,3313.77,1
13132,262,1,77.3,5
13133,274,3,200.45000000000002,5
13134,86,6,2475.23,1
13135,197,2,3371.45,1
13136,56,13,6274.56,1
13137,11,16,7586.94,1
13138,22,7,1467.24,1
13139,16,8,8202.98,1
13140,108,5,1213.18,1
13141,85,17,7656.08,1
13142,19,1,307.09,1
13143,585,1,405.1,0
13144,333,2,135.35,5
13145,40,7,1423.52,1
13146,26,1,228.91,1
13147,10,4,712.8000000000001,1
13148,29,26,8497.82,3
13149,14,4,1676.06,1
13150,484,3,449.96999999999997,0
13151,296,3,2465.21,5
13152,417,7,2146.38,5
13153,6,1,486.22,1
13154,399,3,1624.84,5
13155,33,6,1750.18,1
13156,385,3,1586.54,5
13157,49,9,5687.36,1
13158,95,5,1508.18,1
13159,9,4,1429.35,1
13160,22,1,91.8,1
13161,313,2,472.13,5
13162,122,16,9275.49,1
13163,610,1,17.65,0
13164,569,2,372.2,0
13165,46,3,1451.16,1
13166,283,2,875.93,5
13167,19,5,1125.15,1
13168,36,5,1840.73,1
13169,64,3,840.08,1
13170,27,1,108.81,1
13171,22,3,468.41,1
13172,400,1,69.6,5
13173,4,11,2565.76,1
13174,16,12,9364.42,1
13175,582,2,831.45,0
13176,46,1,481.49,1
13177,65,2,512.2,1
13178,26,21,14059.19,3
13179,619,1,572.3100000000001,0
13180,607,1,86.10000000000001,0
13181,381,1,359.69,5
13182,45,1,121.18,1
13183,8,15,7036.18,1
13184,15,10,1668.95,1
13185,268,1,71.4,5
13186,40,3,1575.89,1
13187,337,4,341.36,5
13188,11,1,114.60000000000001,1
13189,19,2,260.68,1
13190,544,3,570.66,0
13191,658,1,164.69,0
13192,95,6,2558.58,1
13193,61,1,112.08,1
13194,136,2,472.78,1
13195,414,1,136.73,5
13196,11,7,3068.84,1
13197,610,1,373.01000000000005,0
13198,10,8,4974.2300000000005,1
13199,4,67,16432.89,3
13200,19,4,870.09,1
13201,502,4,1233.06,0
13202,394,7,1580.3,5
13203,10,10,2648.25,1
13204,731,1,966.6600000000001,0
13205,443,1,2803.2,5
13206,400,13,8308.19,5
13207,15,4,535.86,1
13208,59,9,1976.3,1
13209,30,13,8509.51,1
13210,94,1,353.48,1
13211,10,10,2618.77,1
13212,20,3,786.83,1
13213,57,11,3851.52,1
13214,418,7,3264.23,5
13215,402,1,81.6,5
13216,268,1,333.74,5
13217,122,4,666.48,1
13218,127,1,62.63999999999999,1
13219,618,1,76.23,0
13220,78,5,1336.0900000000001,1
13221,240,2,847.41,5
13222,577,1,88.5,0
13223,200,6,969.1200000000001,1
13224,60,2,2155.95,1
13225,3,16,16260.07,3
13226,273,2,312.46,5
13227,202,1,257.7,5
13228,81,1,358.0,1
13229,226,1,160.95,5
13230,4,30,6213.46,3
13232,13,7,1328.35,1
13233,74,4,1176.46,1
13234,673,2,346.5,0
13235,212,1,1031.07,5
13236,25,2,744.85,1
13237,388,1,643.0,5
13238,17,6,1006.63,1
13239,262,5,1594.69,5
13240,96,8,1699.8600000000001,1
13241,412,1,112.53,5
13242,112,7,699.4,1
13243,203,5,1220.38,1
13244,93,1,121.74000000000001,1
13245,51,2,989.22,1
13246,18,11,3351.75,1
13247,18,4,501.12,1
13248,125,2,465.68,1
13249,92,9,1608.93,1
13250,461,2,253.09,5
13251,402,1,252.68,5
13252,394,2,399.3,5
13253,157,4,2951.11,1
13254,376,1,51.410000000000004,5
13255,9,3,904.46,1
13257,436,1,149.75,5
13258,12,5,1009.43,1
13259,62,9,1402.54,1
13260,61,1,557.62,1
13261,269,2,944.1,5
13262,263,3,573.45,5
13263,1,39,8676.2,3
13264,443,1,722.5600000000001,5
13265,53,5,2092.66,1
13266,11,19,6135.04,3
13267,3,36,9758.26,3
13268,18,11,3174.75,1
13269,1,28,8888.75,3
13270,366,1,1180.0,5
13271,37,1,211.49,1
13272,31,2,276.56,1
13273,113,1,138.98,1
13274,409,1,360.85,5
13275,384,2,238.86,5
13276,64,5,1891.91,1
13277,16,7,523.3,1
13278,41,4,1435.85,1
13279,78,1,137.75,1
13280,122,7,2293.33,1
13281,439,1,350.85,5
13282,18,4,1313.19,1
13283,60,4,373.36,1
13284,331,1,201.19,5
13285,23,6,3364.59,1
13286,600,1,734.91,0
13287,603,3,781.59,0
13288,443,5,927.61,5
13289,724,1,307.95,0
13290,438,1,208.63,5
13291,156,11,3270.79,1
13292,39,5,994.51,1
13293,392,6,1192.94,5
13294,190,3,1689.53,1
13295,360,4,1101.97,5
13296,137,6,792.51,1
13297,8,7,4368.62,1
13298,1,1,360.0,1
13299,268,3,1218.7,5
13300,169,3,1285.51,1
13301,104,4,618.09,1
13302,155,2,159.2,1
13303,400,1,61.72,5
13304,351,4,1217.99,5
13305,4,16,3752.61,1
13306,430,1,53.65,5
13307,120,3,273.34,1
13308,23,4,1670.3700000000001,1
13309,7,6,1706.3700000000001,1
13310,28,5,1541.2,1
13311,4,2,598.57,1
13312,451,1,124.75,5
13313,22,12,3445.32,1
13314,2,3,775.94,1
13315,689,1,310.26,0
13316,37,10,12940.82,1
13317,66,19,6486.091,3
13318,1,3,640.76,1
13319,5,58,22082.5,3
13320,78,6,2211.6,1
13321,72,2,567.36,1
13322,17,1,199.48000000000002,1
13323,3,5,787.85,1
13324,36,18,10513.47,3
13325,82,1,675.3,1
13326,432,1,281.76,5
13327,39,20,9879.48,3
13328,316,1,1308.48,5
13329,32,8,5112.97,1
13330,93,6,2796.1,1
13331,402,1,262.4,5
13332,14,1,350.9,1
13333,411,3,1015.74,5
13334,82,5,6201.8,1
13336,77,1,795.12,1
13337,546,1,1575.26,0
13338,158,4,2445.62,1
13339,201,1,860.12,5
13340,45,12,22100.56,3
13341,261,1,775.85,5
13343,178,1,353.43,1
13344,68,3,2511.69,1
13345,288,1,389.5,5
13346,463,6,299.4,5
13347,70,1,341.36,1
13348,64,1,233.76,1
13349,11,1,247.32,1
13350,16,2,979.12,1
13351,66,1,373.94,1
13352,60,1,397.97999999999996,1
13354,71,1,743.53,1
13355,122,1,674.7,1
13356,80,1,768.24,1
13357,257,5,3805.5099999999998,5
13358,269,1,439.03,5
13359,64,2,1043.31,1
13360,432,4,1553.65,5
13361,472,2,1450.5,0
