Discription,CurrentStock,ReorderPoint,SafetyStock,Avg_Daily_Demand
4 TRADITIONAL SPINNING TOPS,42,183,110,10.40921409
4 VANILLA BOTANICAL CANDLES,74,25,15,1.425474255
4 WILDFLOWER BOTANICAL CANDLES,3,15,9,0.808943089
5 HOOK BLACKBOARD ORGANISER,18,8,5,0.406504065
5 HOOK HANGER MAGIC TOADSTOOL,54,44,26,2.452574526
5 HOOK HANGER RED MAGIC TOADSTOOL,203,108,65,6.128726287
5 STRAND GLASS NECKLACE AMBER,16,2,1,0.020325203
5 STRAND GLASS NECKLACE AMETHYST,11,2,1,0.02303523
5 STRAND GLASS NECKLACE BLACK,17,2,1,0.02303523
5 STRAND GLASS NECKLACE CRYSTAL,26,3,2,0.135501355
50'S CHRISTMAS GIFT BAG LARGE,101,45,27,2.554200542
50'S CHRISTMAS PAPER GIFT BAG,78,32,19,1.784552846
50CM METAL STRING WITH  7 CLIPS,31,8,5,0.428184282
6 CHOCOLATE LOVE HEART T-LIGHTS,179,63,38,3.540650407
6 CROCHET STRAWBERRIES,43,23,14,1.269647696
6 EGG HOUSE PAINTED WOOD,5,23,14,1.261517615
6 GIFT TAGS 50'S CHRISTMAS,105,80,48,4.529810298
6 GIFT TAGS VINTAGE CHRISTMAS,246,90,54,5.048780488
6 HOOK JEWEL STAND LILAC DRESS,15,2,1,0.001355014
6 HOOK JEWELLERY STAND BLACK DRESS,37,13,8,0.699186992
6 RABBIT CHAIN EASTER,48,2,1,0.070460705
6 RIBBONS ELEGANT CHRISTMAS,46,74,44,4.150406504
6 RIBBONS EMPIRE,122,52,31,2.871273713
6 RIBBONS RUSTIC CHARM,56,387,232,22.00677507
6 RIBBONS SHIMMERING PINKS,28,42,25,2.365853659
6 ROCKET BALLOONS,109,90,54,5.096205962
6 SEGMENT COLOURED SNACK BOWL,0,2,1,0.024390244
60 CAKE CASES DOLLY GIRL DESIGN,428,235,141,13.40921409
60 CAKE CASES VINTAGE CHRISTMAS,236,612,367,34.86720867
60 GOLD AND SILVER FAIRY CAKE CASES,2,100,60,5.692411924
60 TEATIME FAIRY CAKE CASES,1542,1265,759,72.24932249
6PC WOOD PLATE SET DISPOSABLE,13,10,6,0.548780488
70'S ALPHABET WALL ART,14,5,3,0.203252033
72 CAKE CASES DOLLY GIRL DESIGN,63,23,14,1.277777778
72 CAKE CASES VINTAGE CHRISTMAS,66,103,62,5.849593496
72 ROUND PINK DOILIES,8,4,2,0.155826558
72 SWEETHEART FAIRY CAKE CASES,1451,812,487,46.35772358
75 BLACK FAIRY CAKE CASES,70,25,15,1.334688347
75 BLACK PETIT FOUR CASES,20,14,8,0.723577236
75 GREEN FAIRY CAKE CASES,105,50,30,2.799457995
75 GREEN PETIT FOUR CASES,85,33,20,1.853658537
A PRETTY THANK YOU CARD,24,12,7,0.593495935
A4 WALL TIDY BLUE OFFICE,34,7,4,0.325203252
A4 WALL TIDY RED FLOWERS,12,2,1,0.020325203
ABC TREASURE BOOK BOX,135,50,30,2.829268293
ABSTRACT CIRCLE JOURNAL,22,22,13,1.226287263
ABSTRACT CIRCLES NOTEBOOK,189,77,46,4.318428184
ABSTRACT CIRCLES POCKET BOOK,585,129,77,7.304878049
ABSTRACT CIRCLES SKETCHBOOK,64,15,9,0.815718157
"ACRYLIC BEAD CHAIN, BLUE",12,7,4,0.310298103
"ACRYLIC BEAD CHAIN, PINK",23,4,2,0.154471545
"ACRYLIC BEAD GARLAND,PINK",27,2,1,0.002710027
ACRYLIC GEOMETRIC LAMP,19,2,1,0.036585366
"ACRYLIC HANGING JEWEL,BLUE",27,10,6,0.516260163
"ACRYLIC HANGING JEWEL,PINK",12,3,2,0.128726287
"ACRYLIC JEWEL ANGEL,BLUE",29,4,2,0.185636856
"ACRYLIC JEWEL ANGEL,PINK",11,8,5,0.395663957
"ACRYLIC JEWEL ICICLE, BLUE",17,10,6,0.546070461
"ACRYLIC JEWEL ICICLE, PINK",64,14,8,0.743902439
"ACRYLIC JEWEL SNOWFLAKE, PINK",15,5,3,0.227642276
"ACRYLIC JEWEL SNOWFLAKE,BLUE",17,7,4,0.318428184
"ACRYLIC JEWEL SNOWFLAKE,PINK",30,10,6,0.550135501
ADJUSTMENT BY JOHN ON 26/01/2010 16,39,2,1,0.024390244
ADJUSTMENT BY JOHN ON 26/01/2010 17,27,2,1,0.01897019
ADJUSTMENT BY PETER ON JUN 25 2010,25,2,1,0.004065041
ADULT APRON APPLE DELIGHT,1,5,3,0.242547425
ADVENT CALENDAR GINGHAM SACK,107,44,26,2.430894309
AFGHAN SLIPPER SOCK PAIR,61,68,41,3.83197832
AGED GLASS SILVER T-LIGHT HOLDER,1027,415,249,23.6395664
AIRLINE BAG VINTAGE JET SET BROWN,31,12,7,0.654471545
AIRLINE BAG VINTAGE JET SET RED,39,22,13,1.226287263
AIRLINE BAG VINTAGE JET SET WHITE,17,12,7,0.617886179
AIRLINE BAG VINTAGE TOKYO 78,76,37,22,2.090785908
AIRLINE BAG VINTAGE WORLD CHAMPION,1,14,8,0.720867209
"AIRLINE LOUNGE,METAL SIGN",29,22,13,1.230352304
ALARM CLOCK BAKELIKE CHOCOLATE,136,55,33,3.142276423
ALARM CLOCK BAKELIKE GREEN,206,167,100,9.432249322
ALARM CLOCK BAKELIKE IVORY,123,87,52,4.886178862
ALARM CLOCK BAKELIKE ORANGE,202,70,42,3.905149051
ALARM CLOCK BAKELIKE PINK,339,142,85,8.08401084
ALARM CLOCK BAKELIKE RED,368,210,126,11.95934959
ALPHABET HEARTS STICKER SHEET,32,20,12,1.128726287
ALPHABET STENCIL CRAFT,306,110,66,6.196476965
ALUMINIUM HEART,19,2,1,0.040650407
ALUMINIUM STAMPED HEART,23,19,11,1.044715447
AMBER BERTIE GLASS BEAD BAG CHARM,29,2,1,0.002710027
AMBER BERTIE MOBILE PHONE CHARM,44,2,1,0.02303523
AMBER CHUNKY BEAD BRACELET W STRAP,15,2,1,0.046070461
AMBER CHUNKY GLASS+BEAD NECKLACE,28,2,1,0.031165312
AMBER CRYSTAL DROP EARRINGS,20,2,1,0.001355014
AMBER DIAMANTE EXPANDABLE RING,49,2,1,0.048780488
AMBER DROP EARRINGS W LONG BEADS,1,2,1,0.035230352
AMBER FINE BEAD NECKLACE W TASSEL,27,2,1,0.010840108
AMBER GLASS BRACELET HEART CHARMS,21,2,1,0.012195122
AMBER GLASS TASSLE BAG CHARM,2,2,1,0.050135501
AMBER GLASS/SHELL/PEARL NECKLACE,27,2,1,0.004065041
AMBER GLASS/SILVER BRACELET,11,2,1,0.043360434
AMETHYST CHUNKY BEAD BRACELET W STR,25,2,1,0.069105691
AMETHYST DIAMANTE EXPANDABLE RING,19,2,1,0.06097561
AMETHYST HOOP EARRING FLORAL LEAF,7,2,1,0.066395664
ANGEL DECORATION 3 BUTTONS,725,179,107,10.17886179
ANGEL DECORATION PAINTED ZINC,88,53,32,2.966124661
ANGEL DECORATION STARS ON DRESS,344,130,78,7.401084011
ANGEL DECORATION WITH LACE PADDED,69,42,25,2.300813008
ANGEL ON KNEES METAL POLE 100CM H,2,2,1,0.008130081
ANIMAL STICKERS,75,92,55,5.227642276
ANIMALS AND NATURE WALL ART,3,7,4,0.361788618
ANT COPPER LIME BOUDICCA BRACELET,0,3,2,0.134146341
ANT COPPER PINK BOUDICCA BRACELET,27,3,2,0.100271003
ANT COPPER RED BOUDICCA BRACELET,23,2,1,0.052845528
ANT COPPER TURQ BOUDICCA BRACELET,11,3,2,0.117886179
ANT SILVER FUSCHIA BOUDICCA RING,9,2,1,0.056910569
ANT SILVER LIME GREEN BOUDICCA RING,25,2,1,0.074525745
ANT SILVER PURPLE BOUDICCA RING,17,2,1,0.036585366
ANT SILVER TURQUOISE BOUDICCA RING,28,2,1,0.039295393
ANT WHITE HIGH RISE BIRD BOX,26,2,1,0.066395664
ANT WHITE IRON BASKET,24,2,1,0.044715447
ANT WHITE SWEETHEART TABLE W 3 DRAW,28,2,1,0.004065041
ANT WHITE WIRE HEART SPIRAL,79,40,24,2.257452575
ANTIQUE ALL GLASS CANDLESTICK,86,37,22,2.012195122
ANTIQUE CREAM CUTLERY CUPBOARD,28,2,1,0.052845528
ANTIQUE CREAM CUTLERY SHELF,22,4,2,0.143631436
ANTIQUE EDWARDIAN DRESSER,7,2,1,0.070460705
ANTIQUE GLASS DRESSING TABLE POT,109,55,33,3.081300813
ANTIQUE GLASS HEART DECORATION,147,52,31,2.879403794
ANTIQUE GLASS PEDESTAL BOWL,29,29,17,1.615176152
ANTIQUE GLASS PLACE SETTING,54,20,12,1.136856369
ANTIQUE GLASS RIDGED HANGING BALL,6,20,12,1.050135501
ANTIQUE HEART SHELF UNIT,11,7,4,0.361788618
ANTIQUE IVORY WIRE BOWL SMALL,28,3,2,0.131436314
ANTIQUE LILY FAIRY LIGHTS,188,64,38,3.615176152
ANTIQUE MID BLUE FLOWER EARRINGS,16,2,1,0.009485095
ANTIQUE OLIVE GREEN FLOWER EARRINGS,19,2,1,0.021680217
ANTIQUE OPAL WHITE FLOWER EARRINGS,19,2,1,0.008130081
ANTIQUE RASPBERRY FLOWER EARRINGS,44,2,1,0.005420054
ANTIQUE SILVER BAUBLE LAMP,18,10,6,0.5
ANTIQUE SILVER T-LIGHT GLASS,254,308,185,17.54607046
ANTIQUE SILVER TEA GLASS ENGRAVED,541,362,217,20.60840108
ANTIQUE SILVER TEA GLASS ETCHED,34,460,276,26.2696477
ANTIQUE TALL SWIRLGLASS TRINKET POT,45,27,16,1.45799458
APOTHECARY MEASURING JAR,15,2,1,0.086720867
APPLE BATH SPONGE,219,77,46,4.334688347
APRON APPLE DELIGHT,17,13,8,0.669376694
APRON MODERN VINTAGE COTTON,6,15,9,0.814363144
AQUA BERTIE GLASS BEAD BAG CHARM,30,2,1,0.04200542
ARCHED GREY MIRROR,22,3,2,0.113821138
AREA PATROLLED METAL SIGN,372,178,107,10.13279133
ARMY CAMO BOOKCOVER TAPE,21,2,1,0.050135501
ARMY CAMO WRAPPING TAPE,240,54,32,3.043360434
"ART LIGHTS,FUNK MONKEY",67,15,9,0.83604336
ASS COL CIRCLE MOBILE,88,19,11,1.025745257
ASS COL LARGE SAND FROG P'WEIGHT,41,18,11,0.970189702
ASS COL LARGE SAND GECKO P'WEIGHT,40,20,12,1.096205962
ASS COL SMALL SAND FROG P'WEIGHT,122,28,17,1.550135501
ASS COL SMALL SAND GECKO P'WEIGHT,94,39,23,2.149051491
ASS COLOUR GLOWING TIARAS,55,17,10,0.949864499
ASS DES PHONE SPONGE CRAFT STICKER,96,27,16,1.472899729
ASS FLORAL PRINT MULTI SCREWDRIVER,0,68,41,3.856368564
ASS FLORAL PRINT SCISSORS,298,163,98,9.25203252
ASS FLORAL PRINT SPIRIT LEVEL,14,5,3,0.200542005
ASS FLORAL PRINT TAPE MEASURE,6,7,4,0.318428184
ASS FLORAL PRINT TORCH,74,62,37,3.478319783
"ASS RETROSPOOF MUGS,SPORTS",15,5,3,0.193766938
ASS WINDPROOF MARIJUANA LIGHTERS,15,2,1,0.020325203
ASSORTED BOTTLE TOP  MAGNETS,339,77,46,4.37398374
ASSORTED CAKES FRIDGE MAGNETS,109,67,40,3.796747967
ASSORTED CHEESE FRIDGE MAGNETS,57,19,11,1.032520325
ASSORTED CIRCULAR MOBILE,41,29,17,1.573170732
ASSORTED COLOUR BIRD ORNAMENT,4596,1890,1134,107.9864499
ASSORTED COLOUR JUMBO PEN,23,7,4,0.334688347
ASSORTED COLOUR LIZARD SUCTION HOOK,52,35,21,1.979674797
ASSORTED COLOUR METAL CAT,11,7,4,0.322493225
ASSORTED COLOUR MINI CASES,70,73,44,4.136856369
ASSORTED COLOUR SET 6 TEASPOONS,5,7,4,0.307588076
ASSORTED COLOUR SILK COIN PURSE,126,85,51,4.811653117
ASSORTED COLOUR SILK COSMETIC PURSE,30,34,20,1.888888889
ASSORTED COLOUR SILK GLASSES CASE,82,48,29,2.692411924
ASSORTED COLOUR SUCTION CUP HOOK,16,10,6,0.482384824
ASSORTED COLOUR T-LIGHT HOLDER,44,177,106,10.08943089
ASSORTED COLOURED CIRCLE MOBILE,9,2,1,0.086720867
ASSORTED COLOURS SILK FAN,178,975,585,55.66124661
ASSORTED CREEPY CRAWLIES,596,184,110,10.43360434
ASSORTED DESIGN FLOWER MUGS,25,2,1,0.009485095
ASSORTED DESIGN GEISHA GIRL MUGS,24,2,1,0.006775068
ASSORTED EASTER DECORATIONS  BELLS,5,22,13,1.181571816
ASSORTED EASTER GIFT TAGS,80,30,18,1.661246612
ASSORTED FARMYARD ANIMALS IN BUCKET,31,92,55,5.181571816
ASSORTED FLORAL SECATEURS,66,75,45,4.256097561
"ASSORTED FLOWER COLOUR ""LEIS""",514,585,351,33.42276423
ASSORTED FRAGRANCE BATH CONFETTI,20,2,1,0.075880759
ASSORTED ICE CREAM FRIDGE MAGNETS,118,67,40,3.808943089
ASSORTED INCENSE PACK,796,287,172,16.34823848
ASSORTED LAQUERED INCENSE HOLDERS,240,147,88,8.342818428
ASSORTED MINI MADRAS NOTEBOOK,90,42,25,2.327913279
ASSORTED MONKEY SUCTION CUP HOOK,44,27,16,1.459349593
ASSORTED SANSKRIT MINI NOTEBOOK,39,32,19,1.726287263
ASSORTED SANTA CHRISTMAS DECORATION,23,2,1,0.06504065
ASSORTED SHAPED STENCIL FOR HENNA,12,2,1,0.070460705
ASSORTED SHAPES PHOTO CLIP SILVER,31,27,16,1.482384824
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,58,48,29,2.714092141
ASSORTED TUTTI FRUTTI BRACELET,16,67,40,3.7899729
ASSORTED TUTTI FRUTTI HEART BOX,31,25,15,1.365853659
ASSORTED TUTTI FRUTTI KEYRING,10,7,4,0.337398374
ASSORTED TUTTI FRUTTI KEYRING BALL,106,37,22,2.088075881
ASSORTED TUTTI FRUTTI LARGE PURSE,9,20,12,1.070460705
ASSORTED TUTTI FRUTTI MIRROR,41,32,19,1.792682927
ASSORTED TUTTI FRUTTI NOTEBOOK,52,25,15,1.346883469
ASSORTED TUTTI FRUTTI PEN,123,102,61,5.718157182
ASSORTED TUTTI FRUTTI PHOTO FRAME,16,10,6,0.559620596
ASSORTED TUTTI FRUTTI ROUND BOX,27,23,14,1.272357724
ASSORTED TUTTI FRUTTI SMALL PURSE,88,64,38,3.571815718
ASSORTED WHITE EMBOSSED CHINA MUGS,20,17,10,0.913279133
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,3,12,7,0.643631436
ASSTD DESIGN 3D PAPER STICKERS,169,43,26,2.426829268
ASSTD DESIGN BUBBLE GUM RING,1220,532,319,30.36585366
ASSTD DESIGN POP ART SLIM PEN,48,17,10,0.926829268
ASSTD DESIGN RACING CAR PEN,55,103,62,5.856368564
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,178,70,42,3.967479675
ASSTD HEARTS DESIGN MUGS,17,9,5,0.430894309
ASSTD MULTICOLOUR CIRCLES MUG,105,37,22,2.088075881
ASSTD RASTA KEY-CHAINS,24,2,1,0.048780488
BABUSHKA LIGHTS STRING OF 10,198,40,24,2.258807588
BABY BOOM RIBBONS,12,50,30,2.841463415
BABY MOUSE RED GINGHAM DRESS,18,12,7,0.578590786
BAG 125G SWIRLY MARBLES,765,345,207,19.64634146
BAG 250G SWIRLY MARBLES,1146,402,241,22.94444444
BAG 500G SWIRLY MARBLES,171,58,35,3.279132791
BAG FOR CHILDREN VINTAGE BLUE,13,3,2,0.130081301
BAG FOR CHILDREN VINTAGE PINK,27,3,2,0.130081301
BAG OF SILVER STONES,0,5,3,0.196476965
BAKING MOULD CHOCOLATE CUP CAKES,12,2,1,0.032520325
BAKING MOULD CHOCOLATE CUPCAKES,37,24,14,1.291327913
BAKING MOULD CUPCAKE CHOCOLATE,50,2,1,0.016260163
BAKING MOULD EASTER EGG MILK CHOC,1,22,13,1.203252033
BAKING MOULD EASTER EGG WHITE CHOC,34,14,8,0.758807588
BAKING MOULD HEART MILK CHOCOLATE,56,28,17,1.532520325
BAKING MOULD HEART WHITE CHOCOLATE,65,22,13,1.191056911
BAKING MOULD ROSE MILK CHOCOLATE,45,19,11,1.021680217
BAKING MOULD ROSE WHITE CHOCOLATE,13,7,4,0.361788618
BAKING MOULD TOFFEE CUP  CHOCOLATE,10,2,1,0.008130081
BAKING MOULD TOFFEE CUP CHOCOLATE,26,23,14,1.280487805
BAKING SET 9 PIECE RETROSPOT,442,215,129,12.24254743
BAKING SET SPACEBOY DESIGN,291,103,62,5.823848238
BALLERINA HEART DECORATION.,21,9,5,0.45799458
BALLOON ART MAKE YOUR OWN FLOWERS,23,33,20,1.818428184
BALLOON PUMP WITH 10 BALLOONS,4,62,37,3.459349593
BALLOON WATER BOMB PACK OF 35,283,199,119,11.32655827
BALLOONS  WRITING SET,79,40,24,2.268292683
BANK ACCOUNT  GREETING  CARD,38,25,15,1.39295393
BANK CHARGES,19,2,1,0.043360434
BANQUET BIRTHDAY  CARD,151,94,56,5.2899729
BAROQUE BUTTERFLY EARRINGS BLACK,23,2,1,0.002710027
BAROQUE BUTTERFLY EARRINGS CRYSTAL,22,2,1,0.002710027
BAROQUE BUTTERFLY EARRINGS GREEN,23,2,1,0.002710027
BAROQUE BUTTERFLY EARRINGS MONTANA,20,2,1,0.004065041
BAROQUE BUTTERFLY EARRINGS PINK,11,2,1,0.002710027
BAROQUE BUTTERFLY EARRINGS RED,18,2,1,0.001355014
BASKET OF FLOWERS SEWING KIT,123,43,26,2.407859079
BASKET OF TOADSTOOLS,97,52,31,2.909214092
BASKET/8 SCENTED LOVE TOKEN CANDLES,2,4,2,0.16395664
BATH BUILDING BLOCK WORD,42,39,23,2.14498645
BATH DUCK WATERING CAN,25,20,12,1.127371274
BATHROOM HOOK,21,4,2,0.189701897
BATHROOM METAL SIGN,462,345,207,19.67479675
BATHROOM SCALES FOOTPRINTS IN SAND,20,3,2,0.131436314
BATHROOM SCALES RUBBER DUCKS,20,3,2,0.115176152
"BATHROOM SCALES, FAG BREAK",50,2,1,0.002710027
"BATHROOM SCALES, TROPICAL BEACH",12,2,1,0.047425474
BATHROOM SET LOVE HEART DESIGN,18,15,9,0.791327913
BEACH HUT DESIGN BLACKBOARD,18,10,6,0.525745257
BEACH HUT KEY CABINET,21,10,6,0.487804878
BEACH HUT MIRROR,22,9,5,0.466124661
BEACH HUT PHOTO FRAME,52,15,9,0.777777778
BEACH HUT SHELF W 3 DRAWERS,21,8,5,0.395663957
BEADED CHANDELIER T-LIGHT HOLDER,47,15,9,0.807588076
BEADED CRYSTAL HEART BLUE  LARGE,57,17,10,0.880758808
BEADED CRYSTAL HEART BLUE ON STICK,17,8,5,0.417344173
BEADED CRYSTAL HEART BLUE SMALL,30,10,6,0.536585366
BEADED CRYSTAL HEART GREEN LARGE,56,22,13,1.185636856
BEADED CRYSTAL HEART GREEN ON STICK,27,9,5,0.447154472
BEADED CRYSTAL HEART GREEN SMALL,16,7,4,0.311653117
BEADED CRYSTAL HEART PINK LARGE,31,19,11,1.001355014
BEADED CRYSTAL HEART PINK ON STICK,19,12,7,0.661246612
BEADED CRYSTAL HEART PINK SMALL,34,17,10,0.888888889
BEADED CRYSTAL HEART PINK\ON STICK,10,2,1,0.020325203
BEADED LOVE HEART JEWELLERY SET,120,50,30,2.856368564
BEADED PEARL HEART WHITE LARGE,13,17,10,0.925474255
BEADED PEARL HEART WHITE ON STICK,105,35,21,1.928184282
BEAUTY SPEED EXPRESSO CUPS,18,12,7,0.62601626
BEECH WOOD P/FRAME,12,2,1,0.006775068
BEECH WOOD PHOTO FRAME,13,7,4,0.367208672
BEIGE PHOTO ALBUM,3,3,2,0.127371274
BELL HEART ANTIQUE GOLD,8,2,1,0.016260163
BELL HEART DECORATION,6,7,4,0.341463415
BELLE JARDINIERE CUSHION COVER,46,17,10,0.925474255
BENDY COLOUR PENCILS,18,2,1,0.005420054
BERRIES CHUNKY KNITTED THROW,4,2,1,0.006775068
BEST DAD CANDLE LETTERS,0,7,4,0.292682927
BEWARE OF THE CAT DOORMAT,50,2,1,0.002710027
BEWARE OF THE CAT METAL SIGN,507,218,131,12.39701897
BICYCLE PUNCTURE REPAIR KIT,64,42,25,2.344173442
BICYCLE SAFTEY WALL ART,1,12,7,0.620596206
BIG DOUGHNUT FRIDGE MAGNETS,378,139,83,7.863143631
BIG PINK POODLE,35,2,1,0.037940379
BIG POLKADOT MUG,6,3,2,0.105691057
BILI NUT AND WOOD NECKLACE,28,2,1,0.06504065
BINGO SET,37,78,47,4.422764228
BIRD BOX CHRISTMAS TREE DECORATION,5,7,4,0.308943089
BIRD DECORATION GREEN  SPOT,36,15,9,0.777777778
BIRD DECORATION GREEN POLKADOT,41,12,7,0.658536585
BIRD DECORATION RED RETROSPOT,58,28,17,1.536585366
BIRD DECORATION RED SPOT,18,28,17,1.543360434
BIRD HOUSE HOT WATER BOTTLE,111,47,28,2.593495935
BIRD IN TREE MUG,9,112,67,6.291327913
BIRD ON BRANCH CANVAS SCREEN,25,2,1,0.014905149
BIRDCAGE DECORATION MAGIC GARDEN,20,2,1,0.028455285
BIRDCAGE DECORATION TEALIGHT HOLDER,113,23,14,1.275067751
BIRDHOUSE DECORATION MAGIC GARDEN,56,40,24,2.191056911
BIRDHOUSE GARDEN MARKER,116,62,37,3.441734417
BIRDS MOBILE VINTAGE DESIGN,51,15,9,0.787262873
BIRTHDAY BANNER TAPE,33,2,1,0.06504065
BIRTHDAY BANQUET GIFT WRAP,166,68,41,3.848238482
